timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_acc0,attack_acc1,attack_acc2,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
27869626,27869626,27869626,27869626,27869626,27869626,27869626,27869626,27869626,0.48267546,-0.07344474,-9.959937,0.48267546,-0.07344474,-9.959937
27873710,27873710,27873710,27873710,27873710,27873710,27873710,27873710,27873710,0.4645626,-0.09440015,-9.943592,0.4645626,-0.09440015,-9.943592
27877668,27877668,27877668,27877668,27877668,27877668,27877668,27877668,27877668,0.46324077,-0.07742417,-9.909806,0.46324077,-0.07742417,-9.909806
27881622,27881622,27881622,27881622,27881622,27881622,27881622,27881622,27881622,0.43901825,-0.076768294,-9.898834,0.43901825,-0.076768294,-9.898834
27885672,27885672,27885672,27885672,27885672,27885672,27885672,27885672,27885672,0.47969407,-0.039846417,-9.90569,0.47969407,-0.039846417,-9.90569
27889662,27889662,27889662,27889662,27889662,27889662,27889662,27889662,27889662,0.4797145,-0.05383711,-9.918667,0.4797145,-0.05383711,-9.918667
27893666,27893666,27893666,27893666,27893666,27893666,27893666,27893666,27893666,0.47625807,-0.08901716,-9.952275,0.47625807,-0.08901716,-9.952275
27897662,27897662,27897662,27897662,27897662,27897662,27897662,27897662,27897662,0.46906397,-0.052337795,-9.938676,0.46906397,-0.052337795,-9.938676
27901714,27901714,27901714,27901714,27901714,27901714,27901714,27901714,27901714,0.50793695,-0.060588885,-9.93832,0.50793695,-0.060588885,-9.93832
27905662,27905662,27905662,27905662,27905662,27905662,27905662,27905662,27905662,0.48924953,-0.033922125,-9.920555,0.48924953,-0.033922125,-9.920555
27909663,27909663,27909663,27909663,27909663,27909663,27909663,27909663,27909663,0.474946,-0.054596122,-9.940407,0.474946,-0.054596122,-9.940407
27913663,27913663,27913663,27913663,27913663,27913663,27913663,27913663,27913663,0.4723217,-0.10241074,-9.935426,0.4723217,-0.10241074,-9.935426
