timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_acc0,attack_acc1,attack_acc2,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
27869626,27869626,27869626,27869626,27869626,27869626,40.47210284,40.47210284,-57.68744539,-57.20476993,-57.76089013,-67.64738239,0.48267546,-0.07344474,-9.959937
27873710,27873710,27873710,27873710,27873710,27873710,-51.26453662,-51.26453662,-5.173731434,-4.709168834,-5.268131584,-15.11732343,0.4645626,-0.09440015,-9.943592
27877668,27877668,27877668,27877668,27877668,27877668,59.15018581,59.15018581,64.49607814,64.95931891,64.41865397,54.58627214,0.46324077,-0.07742417,-9.909806
27881622,27881622,27881622,27881622,27881622,27881622,58.91271128,58.91271128,-78.53932536,-78.10030711,-78.61609365,-88.43815936,0.43901825,-0.076768294,-9.898834
27885672,27885672,27885672,27885672,27885672,27885672,-78.60549585,-78.60549585,-45.77808249,-45.29838842,-45.8179289,-55.68377249,0.47969407,-0.039846417,-9.90569
27889662,27889662,27889662,27889662,27889662,27889662,39.18176377,39.18176377,76.43975442,76.91946892,76.38591731,66.52108742,0.4797145,-0.05383711,-9.918667
27893666,27893666,27893666,27893666,27893666,27893666,43.38265385,43.38265385,12.70337855,13.17963662,12.61436139,2.751103548,0.47625807,-0.08901716,-9.952275
27897662,27897662,27897662,27897662,27897662,27897662,-78.71718635,-78.71718635,-79.75965645,-79.29059248,-79.81199425,-89.69833245,0.46906397,-0.052337795,-9.938676
27901714,27901714,27901714,27901714,27901714,27901714,60.54427442,60.54427442,-28.52234297,-28.01440602,-28.58293186,-38.46066297,0.50793695,-0.060588885,-9.93832
27905662,27905662,27905662,27905662,27905662,27905662,61.17068219,61.17068219,71.87755176,72.36680129,71.84362963,61.95699676,0.48924953,-0.033922125,-9.920555
27909663,27909663,27909663,27909663,27909663,27909663,-73.07477448,-73.07477448,-47.18939305,-46.71444705,-47.24398917,-57.12980005,0.474946,-0.054596122,-9.940407
27913663,27913663,27913663,27913663,27913663,27913663,1.653616594,1.653616594,-54.61335489,-54.14103319,-54.71576563,-64.54878089,0.4723217,-0.10241074,-9.935426
27917663,27917663,27917663,27917663,27917663,27917663,71.66662308,71.66662308,67.65643752,68.14950321,67.58634135,57.67918752,0.49306569,-0.07009617,-9.97725
27921663,27921663,27921663,27921663,27921663,27921663,-62.6819446,-62.6819446,29.25825049,29.74271567,29.17689817,19.33998949,0.48446518,-0.08135232,-9.918261
27925663,27925663,27925663,27925663,27925663,27925663,-18.28927515,-18.28927515,-78.6213364,-78.14012614,-78.69908847,-88.5617944,0.48121026,-0.07775207,-9.940458
27929707,27929707,27929707,27929707,27929707,27929707,60.40277429,60.40277429,-40.51111908,-40.049767,-40.57660606,-50.44606308,0.46135208,-0.06548698,-9.934944
27933666,27933666,27933666,27933666,27933666,27933666,-50.51991694,-50.51991694,79.04472236,79.50313659,78.97355415,69.13361736,0.45841423,-0.07116821,-9.911105
27937667,27937667,27937667,27937667,27937667,27937667,-33.78465625,-33.78465625,-26.0037303,-25.52219102,-26.06412819,-35.9604733,0.48153928,-0.06039789,-9.956743
27941664,27941664,27941664,27941664,27941664,27941664,79.96239675,79.96239675,-67.95253797,-67.45722039,-68.02791928,-77.87477297,0.49531758,-0.07538131,-9.922235
27945660,27945660,27945660,27945660,27945660,27945660,-28.41899881,-28.41899881,56.99344729,57.46795716,56.93111935,47.09389779,0.47450987,-0.06232794,-9.8995495
27949671,27949671,27949671,27949671,27949671,27949671,-47.86059783,-47.86059783,52.9162597,53.40406748,52.84254202,43.0236717,0.48780778,-0.073717676,-9.892588
27953660,27953660,27953660,27953660,27953660,27953660,75.73553981,75.73553981,-73.65783483,-73.18789607,-73.74220952,-83.56824883,0.46993876,-0.08437469,-9.910414
27957710,27957710,27957710,27957710,27957710,27957710,-50.72231529,-50.72231529,-58.4206138,-57.92629394,-58.5098908,-68.3268388,0.49431986,-0.089277,-9.906225
27961680,27961680,27961680,27961680,27961680,27961680,-56.78139839,-56.78139839,77.17784195,77.64748265,77.08978253,67.23806495,0.4696407,-0.08805942,-9.939777
27965663,27965663,27965663,27965663,27965663,27965663,68.41785476,68.41785476,-10.2310886,-9.772361499,-10.33793272,-20.1558786,0.4587271,-0.10684412,-9.92479
27969660,27969660,27969660,27969660,27969660,27969660,11.12278657,11.12278657,-75.06400204,-74.58320494,-75.15765684,-84.98723004,0.4807971,-0.093654804,-9.923228
27973668,27973668,27973668,27973668,27973668,27973668,-73.92189881,-73.92189881,34.40761358,34.89582278,34.32591942,24.47352358,0.4882092,-0.081694156,-9.93409
27977664,27977664,27977664,27977664,27977664,27977664,56.61117809,56.61117809,62.12525532,62.62050504,62.05609676,52.22229732,0.49524972,-0.06915856,-9.902958
27981663,27981663,27981663,27981663,27981663,27981663,27.90617836,27.90617836,-61.77222048,-61.30239596,-61.83043061,-71.71492048,0.46982452,-0.058210123,-9.9427
27985711,27985711,27985711,27985711,27985711,27985711,-64.38586907,-64.38586907,-70.63764276,-70.14858099,-70.70987217,-80.58599876,0.48906177,-0.07222941,-9.948356
27989680,27989680,27989680,27989680,27989680,27989680,52.67834564,52.67834564,69.51541191,69.98828971,69.44940094,59.63743191,0.4728778,-0.06601097,-9.87798
27993664,27993664,27993664,27993664,27993664,27993664,44.91676913,44.91676913,10.78420058,11.28068158,10.7085106,0.89416158,0.496481,-0.07568998,-9.890039
27997676,27997676,27997676,27997676,27997676,27997676,-79.98653603,-79.98653603,-79.65993345,-79.21038025,-79.72452867,-89.58322145,0.4495532,-0.064595215,-9.923288
28001660,28001660,28001660,28001660,28001660,28001660,18.82222577,18.82222577,22.89788409,23.37178155,22.81170838,12.96488709,0.47389746,-0.08617571,-9.932997
28005666,28005666,28005666,28005666,28005666,28005666,58.73556364,58.73556364,73.49601946,73.97457516,73.44533926,63.58949946,0.4785557,-0.0506802,-9.90652
28009707,28009707,28009707,28009707,28009707,28009707,-79.69902212,-79.69902212,-7.77383677,-7.30488432,-7.801904735,-17.72493177,0.46895245,-0.028067965,-9.951095
28013710,28013710,28013710,28013710,28013710,28013710,42.56864609,42.56864609,-77.52401676,-77.05467402,-77.57816039,-87.46185476,0.46934274,-0.054143626,-9.937838
