timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_acc0,attack_acc1,attack_acc2,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
27869626,27869626,27869626,27869626,27869626,27869626,40.47210284,40.47210284,24.34874934,20.83728919,24.8314248,14.38881234,0.48267546,-0.07344474,-9.959937
27873710,27873710,27873710,27873710,27873710,27873710,-51.26453662,-51.26453662,-21.69976146,2.292561935,-21.23519886,-31.64335346,0.4645626,-0.09440015,-9.943592
27877668,27877668,27877668,27877668,27877668,27877668,59.15018581,59.15018581,-19.05621489,-22.35472681,-18.59297412,-28.96602089,0.46324077,-0.07742417,-9.909806
27881622,27881622,27881622,27881622,27881622,27881622,58.91271128,58.91271128,19.17322118,28.26182138,19.61223943,9.274387184,0.43901825,-0.076768294,-9.898834
27885672,27885672,27885672,27885672,27885672,27885672,-78.60549585,-78.60549585,-5.275525869,16.71850903,-4.795831799,-15.18121587,0.47969407,-0.039846417,-9.90569
27889662,27889662,27889662,27889662,27889662,27889662,39.18176377,39.18176377,-24.77434981,-26.67151665,-24.29463531,-34.69301681,0.4797145,-0.05383711,-9.918667
27893666,27893666,27893666,27893666,27893666,27893666,43.38265385,43.38265385,23.90646599,-4.041928227,24.38272406,13.95419099,0.47625807,-0.08901716,-9.952275
27897662,27897662,27897662,27897662,27897662,27897662,-78.71718635,-78.71718635,5.081726588,28.87445712,5.550790558,-4.856949412,0.46906397,-0.052337795,-9.938676
27901714,27901714,27901714,27901714,27901714,27901714,60.54427442,60.54427442,-18.64780005,10.67937848,-18.1398631,-28.58612005,0.50793695,-0.060588885,-9.93832
27905662,27905662,27905662,27905662,27905662,27905662,61.17068219,61.17068219,18.40987777,-25.17654017,18.8991273,8.489322767,0.48924953,-0.033922125,-9.920555
27909663,27909663,27909663,27909663,27909663,27909663,-73.07477448,-73.07477448,11.64128423,17.3473323,12.11623023,1.700877234,0.474946,-0.054596122,-9.940407
27913663,27913663,27913663,27913663,27913663,27913663,1.653616594,1.653616594,-28.63512414,20.02475157,-28.16280244,-38.57055014,0.4723217,-0.10241074,-9.935426
27917663,27917663,27917663,27917663,27917663,27917663,71.66662308,71.66662308,12.7446029,-23.76074107,13.23766859,2.767352903,0.49306569,-0.07009617,-9.97725
