timestamp,attack_trigger,attack_frequency,attack_amplitude,attack_offset,attack_timediff,attack_recovered,attack_gyro0,attack_gyro1,attack_gyro2,true_gyro0,true_gyro1,true_gyro2
163518590,0,0,0,0,0.003962,0,-0.29929832,0.08149197,1.1423643,0.18585403,0.017157217,0.75162256
163522632,0,0,0,0,0.004042,0,0.11831646,-0.009009946,0.5844002,-0.22856525,-0.10519344,0.8234648
163526627,0,0,0,0,0.003995,0,0.43582588,-0.0674665,0.6242776,-0.061955594,0.001162414,0.7747952
163530588,0,0,0,0,0.003961,0,0.01622527,0.075760186,0.8165016,0.08893284,-0.038794115,0.77110404
163534698,0,0,0,0,0.00411,0,0.29631686,-0.284485,0.68183756,0.108173266,-0.11988236,0.83512306
163538632,0,0,0,0,0.003934,0,-0.3421532,0.07055743,0.91977644,0.07880853,0.044808533,0.7542208
163542656,0,0,0,0,0.004024,0,0.26137915,-0.051649533,1.0521629,-0.27413902,-0.050265707,0.8088105
163546588,0,0,0,0,0.003932,0,-0.12951928,0.09641064,1.1966453,0.19769886,-0.047609974,0.79236996
163550633,0,0,0,0,0.004045,0,-0.03361192,0.45958427,0.6179911,0.036022548,-0.087253936,0.77535325
163554594,0,0,0,0,0.003961,0,0.09633067,0.0356027,0.7917436,-0.09004309,-0.12932082,0.8135122
163558630,0,0,0,0,0.004036,0,-0.39905182,0.09379981,0.8040461,0.046300292,0.026524447,0.7353539
163562603,0,0,0,0,0.003973,0,0.33461526,0.07625711,1.1259195,-0.085853346,-0.10408346,0.8296003
163566661,0,0,0,0,0.004058,0,0.21242855,0.5051673,0.55605996,0.12613969,-0.09643089,0.7927842
163570588,0,0,0,0,0.003927,0,-0.15922372,0.11235273,1.00184,-0.11981727,-0.07067149,0.7414537
163574632,0,0,0,0,0.004044,0,0.3545289,-0.2187354,0.65515405,-0.015882526,-0.09445131,0.81404257
163578590,0,0,0,0,0.003958,0,-0.050485104,0.19661018,0.8535463,0.054381907,0.034849625,0.7605571
163582635,0,0,0,0,0.004045,0,0.12813948,0.035484135,0.84149283,-0.08566673,-0.11220391,0.81023353
163586644,0,0,0,0,0.004009,0,0.17603086,0.2259571,0.71272993,0.12842615,-0.04513376,0.76779795
163590625,0,0,0,0,0.003981,0,-0.012151299,0.087616324,0.84305537,-0.10548948,-0.04004114,0.75227576
163594593,0,0,0,0,0.003968,0,0.41620222,0.31751263,0.64639294,0.14159097,-0.0376718,0.8148932
163598632,0,0,0,0,0.004039,0,-0.2713103,0.15141357,0.8918604,0.15497458,0.039865807,0.7565706
163602598,0,0,0,0,0.003966,0,-0.14744169,-0.07790341,0.9897784,-0.04861327,-0.13719189,0.78262424
163606627,0,0,0,0,0.004029,0,0.40286988,0.3482213,0.5875069,0.2722251,-0.002453225,0.7888088
163610591,0,0,0,0,0.003964,0,-0.13383241,-0.15678169,0.66560334,-0.016024755,0.025534246,0.76280713
163615443,0,0,0,0,0.004852,0,0.7313385,0.16280214,1.1123958,0.17053172,-0.022104766,0.8018633
163619454,0,0,0,0,0.004011,0,-0.68760324,0.2812341,0.5358314,0.013467223,0.05422082,0.7479669
163623417,0,0,0,0,0.003963,0,0.46215153,-0.1649505,0.9197762,0.07737867,-0.118561715,0.80478895
163627451,0,0,0,0,0.004034,0,-0.07675086,0.10526066,1.0672573,0.27952996,0.06065949,0.7792221
163631425,0,0,0,0,0.003974,0,0.12633176,-0.07689035,0.79536134,-0.09624381,0.075294964,0.7776799
163635391,0,0,0,0,0.003966,0,0.39714986,-0.07389263,1.0402216,0.23642926,-0.020226553,0.7918033
163639431,0,0,0,0,0.00404,0,-0.18345213,-0.23759946,0.58237964,0.10794103,0.014995034,0.7622422
163643441,0,0,0,0,0.00401,0,0.122355,-0.2757749,0.69917196,0.003865636,-0.01671639,0.8034595
163647427,0,0,0,0,0.003986,0,0.3396868,0.28595856,1.4388574,0.2110327,0.13784811,0.76269025
163651463,0,0,0,0,0.004036,0,-0.14281987,-0.16252676,0.7818772,-0.08294859,0.045285534,0.79295474
163655458,0,0,0,0,0.003995,0,0.19810373,-0.2964847,1.1421114,0.25203714,-0.013976918,0.79663944
163659387,0,0,0,0,0.003929,0,0.21862935,-0.5009468,0.32907668,0.011445405,0.08734766,0.7684013
163663428,0,0,0,0,0.004041,0,0.34655893,-0.38233447,1.0232567,0.019546542,0.107568815,0.7940904
163667425,0,0,0,0,0.003997,0,0.53000957,-0.17795818,0.9785158,0.26107377,0.13928723,0.7749634
163671476,0,0,0,0,0.004051,0,-0.461521,0.24571164,1.1612239,-0.15819223,0.032467406,0.81767565
163675394,0,0,0,0,0.003918,0,0.3731212,-0.06603332,0.7516289,0.27701423,0.06263387,0.7817426
163679430,0,0,0,0,0.004036,0,-0.1105883,-0.6491349,0.8530086,0.11963195,0.18431601,0.7644418
163683395,0,0,0,0,0.003965,0,0.39948916,-0.33109313,0.4471218,0.064551406,0.10857022,0.8242163
163687434,0,0,0,0,0.004039,0,0.5346158,0.09033393,0.9725593,0.25778788,0.09163854,0.7780842
163691388,0,0,0,0,0.003954,0,0.22758034,-0.3738855,0.6562877,-0.11302667,0.019297931,0.80630493
163695392,0,0,0,0,0.004004,0,0.489053,0.041540433,0.49768737,0.20188141,0.1268717,0.78011173
163699482,0,0,0,0,0.00409,0,-0.05276916,-0.22018547,0.89638186,0.008500307,0.13144273,0.79184574
163703390,0,0,0,0,0.003908,0,0.27908042,0.111143,0.7894439,-0.035937224,0.039008632,0.8390677
163707443,0,0,0,0,0.004053,0,0.23680104,-0.012614775,0.87267274,0.1844193,0.06532877,0.7620396
163711388,0,0,0,0,0.003945,0,-0.16803786,-0.19192488,0.1934631,-0.13637698,0.019994698,0.8313291
163715418,0,0,0,0,0.00403,0,0.49019632,0.31787744,-0.06179181,0.15732513,0.13515407,0.7981346
163719446,0,0,0,0,0.004028,0,-0.2680504,-0.11260051,0.83853173,-0.13237375,0.12871075,0.7753284
163723391,0,0,0,0,0.003945,0,0.4686265,-0.1291775,0.87561935,-0.039779995,-0.07514131,0.82842416
163727481,0,0,0,0,0.00409,0,0.095800616,-0.15528768,0.44162366,0.1698793,0.08825368,0.7675691
163731389,0,0,0,0,0.003908,0,0.1923267,0.08427695,0.48585477,-0.15030548,0.09091052,0.8382383
163735429,0,0,0,0,0.00404,0,0.19531395,0.09921319,1.15032,0.13898383,0.12059672,0.787137
163739398,0,0,0,0,0.003969,0,-0.008802122,-0.06290462,1.1832862,-0.08814101,0.03286601,0.7864463
163743430,0,0,0,0,0.004032,0,-0.014600981,0.048248876,1.0139107,-0.064999886,-0.10842596,0.8408419
163747423,0,0,0,0,0.003993,0,0.118641876,0.20101693,0.60457474,0.07309688,0.1719246,0.76460946
163751461,0,0,0,0,0.004038,0,0.20820686,0.07524538,1.164936,-0.04946443,0.001063161,0.82449496
163755436,0,0,0,0,0.003975,0,-0.013257297,0.05136795,0.7944602,0.17396045,0.060793664,0.81362
163759393,0,0,0,0,0.003957,0,0.20669484,0.007482254,0.40667054,-0.043254904,-0.005771053,0.79512244
163763430,0,0,0,0,0.004037,0,0.41022667,-0.015769467,0.8640387,0.110443935,-0.011108544,0.8338417
163767438,0,0,0,0,0.004008,0,-0.057752587,0.3256588,0.85620445,0.19207089,0.13048382,0.78266925
163772201,0,0,0,0,0.004763,0,-0.011644051,0.13300829,0.6946233,-0.018967565,-0.041954868,0.8379752
163776240,0,0,0,0,0.004039,0,0.60068935,0.2803167,1.0616126,0.17682444,0.068698786,0.7711741
163780234,0,0,0,0,0.003994,0,-0.94737244,-0.079048075,0.6319991,-0.16191418,-0.0689525,0.71361583
163784231,0,0,0,0,0.003997,0,0.3216606,0.32110852,0.75937974,0.19513881,-0.10220805,0.6924999
163788189,0,0,0,0,0.003958,0,-0.08098499,-0.100288294,0.5040705,0.028425664,0.10305923,0.59480995
163792232,0,0,0,0,0.004043,0,-0.3862584,-0.12995468,0.52831286,-0.13269067,-0.11528067,0.61374015
163796190,0,0,0,0,0.003958,0,0.0769883,0.16374554,0.49448404,0.12689519,-0.020603076,0.5448514
163800250,0,0,0,0,0.00406,0,-0.22042356,-0.834588,0.43923286,-0.057089016,-0.11164058,0.47026762
163804260,0,0,0,0,0.00401,0,-0.15646122,0.23856314,0.21551129,0.002064137,-0.007920852,0.5215787
163808192,0,0,0,0,0.003932,0,-0.07198723,-0.18920138,0.6746177,0.06503676,-0.022212645,0.45760083
163812229,0,0,0,0,0.004037,0,-0.7176077,-0.25256258,0.16488558,-0.08277558,-0.13023272,0.43401822
163816192,0,0,0,0,0.003963,0,0.137194,-0.15348022,0.63344985,0.04091382,-0.003312761,0.4446362
163820232,0,0,0,0,0.00404,0,-0.6272605,-0.15733884,0.45703423,-0.031978793,-0.08550602,0.39236838
163824232,0,0,0,0,0.004,0,-0.47870442,-0.19493906,0.23593105,-0.11533133,-0.1470412,0.40330204
163828233,0,0,0,0,0.004001,0,0.046321083,0.05347797,0.34255293,0.06550728,-0.063252196,0.37916088
163832226,0,0,0,0,0.003993,0,-0.13238436,0.11594578,0.65222996,-0.04432472,-0.108335175,0.3663057
163836266,0,0,0,0,0.00404,0,-0.33584937,0.045719165,0.14868857,-0.19437821,-0.109544195,0.3728737
163840189,0,0,0,0,0.003923,0,0.26901233,-0.2886078,0.42247036,0.062260155,-0.024915218,0.3402948
163844233,0,0,0,0,0.004044,0,0.34003165,-0.18085282,0.1505926,-0.057713486,-0.14560032,0.32625875
163848227,0,0,0,0,0.003994,0,0.5269722,-0.2744715,0.4827879,-0.09903732,-0.08636249,0.35741618
163852188,0,0,0,0,0.003961,0,0.11197908,0.122140706,0.2723004,0.028647566,0.0108743,0.32157993
163856230,0,0,0,0,0.004042,0,0.16701904,-0.17281091,0.14903209,-0.10366353,-0.06062619,0.28820717
163860188,0,0,0,0,0.003958,0,-0.14319998,0.18014964,0.1826737,0.024172463,0.013649993,0.34519
163864238,0,0,0,0,0.00405,0,-0.228132,0.39791286,0.17000712,-0.012166538,0.04755356,0.26752815
163868233,0,0,0,0,0.003995,0,0.22621457,-0.12306299,0.09430338,-0.029634433,-0.14311852,0.27837634
163872189,0,0,0,0,0.003956,0,0.12094565,0.021097103,0.6390636,0.009429241,-0.04015345,0.32222983
163876233,0,0,0,0,0.004044,0,-0.41955838,0.31793872,0.1843508,0.025652766,-0.046390954,0.24042518
163880190,0,0,0,0,0.003957,0,-0.19160184,-0.026705507,-0.02383963,-0.16380277,-0.1085869,0.26629013
163884241,0,0,0,0,0.004051,0,0.24820216,0.14596929,0.34355015,-0.016765676,0.000768897,0.27243423
163888234,0,0,0,0,0.003993,0,0.07253785,0.3718705,0.039580602,0.06866674,0.002980648,0.22154233
163892189,0,0,0,0,0.003955,0,-0.29458648,0.35065755,0.24599196,-0.14840905,-0.10405554,0.25619987
163896991,0,0,0,0,0.004802,0,-0.072401,0.42598248,0.07653911,0.037946433,0.012691,0.2648527
163900987,0,0,0,0,0.003996,0,0.098476134,-0.08222272,0.6548038,-0.074666746,-0.033267576,0.2014389
163905026,0,0,0,0,0.004039,0,-0.02089789,-0.48852494,0.26157036,0.009940669,-0.081216775,0.24353619
163909024,0,0,0,0,0.003998,0,0.11589404,-0.5885515,0.40279582,0.1099611,0.00138901,0.2597123
