timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_gyro0,attack_gyro1,attack_gyro2,gyro_rad[0],gyro_rad[1],gyro_rad[2]
27869626,27869626,27869626,27869626,27869626,27869626,3.128874419,3.128874419,3.152036137,3.146696734,3.154986276,3.152003627,-0.005339404,0.002950139,-3.25E-05
27873710,27873710,27873710,27873710,27873710,27873710,-0.394944807,-0.394944807,-2.456788219,-2.460425758,-2.452764233,-2.456679695,-0.003637539,0.004023986,0.000108524
27877668,27877668,27877668,27877668,27877668,27877668,-3.807258969,-3.807258969,-3.656821199,-3.66111511,-3.652696775,-3.656388281,-0.004293911,0.004124424,0.000432918
27881622,27881622,27881622,27881622,27881622,27881622,-2.628844365,-2.628844365,0.658780216,0.655138008,0.662069018,0.659217857,-0.003642208,0.003288802,0.000437641
27885672,27885672,27885672,27885672,27885672,27885672,1.27348675,1.27348675,3.980721659,3.976866898,3.98442688,3.981040781,-0.003854761,0.003705221,0.000319123
27889662,27889662,27889662,27889662,27889662,27889662,3.967276178,3.967276178,0.337082203,0.333982543,0.340686956,0.337204163,-0.00309966,0.003604753,0.000121961
27893666,27893666,27893666,27893666,27893666,27893666,2.252406019,2.252406019,-3.88531119,-3.887900099,-3.8810792,-3.884331096,-0.002588909,0.00423199,0.000980095
27897662,27897662,27897662,27897662,27897662,27897662,-1.962768312,-1.962768312,-1.598457922,-1.603399368,-1.594332284,-1.596770348,-0.004941446,0.004125638,0.001687573
27901714,27901714,27901714,27901714,27901714,27901714,-3.999249061,-3.999249061,3.558119802,3.552454149,3.561934392,3.558495409,-0.005665653,0.00381459,0.000375606
27905662,27905662,27905662,27905662,27905662,27905662,-1.62017827,-1.62017827,2.690711374,2.68604626,2.695288576,2.689747434,-0.004665114,0.004577203,-0.00096394
27909663,27909663,27909663,27909663,27909663,27909663,2.538486136,2.538486136,-2.488751428,-2.492258082,-2.484605037,-2.489701677,-0.003506654,0.004146391,-0.000950249
27913663,27913663,27913663,27913663,27913663,27913663,3.901339697,3.901339697,-3.494542796,-3.496469163,-3.49146864,-3.494615738,-0.001926366,0.003074156,-7.29E-05
27917663,27917663,27917663,27917663,27917663,27917663,0.960104345,0.960104345,1.35206636,1.347154864,1.355029645,1.35235812,-0.004911495,0.002963285,0.00029176
27921663,27921663,27921663,27921663,27921663,27921663,-3.040350349,-3.040350349,3.934335276,3.929314517,3.938154538,3.934104623,-0.005020759,0.003819262,-0.000230653
27925663,27925663,27925663,27925663,27925663,27925663,-3.68658848,-3.68658848,-0.072328087,-0.076158464,-0.068823473,-0.072969856,-0.003830377,0.003504614,-0.000641769
27929707,27929707,27929707,27929707,27929707,27929707,-0.4924051,-0.4924051,-3.992637406,-3.995606577,-3.989345388,-3.993784974,-0.002969172,0.003292018,-0.001147568
27933666,27933666,27933666,27933666,27933666,27933666,3.440457951,3.440457951,-1.193061015,-1.197137756,-1.190314631,-1.192123353,-0.004076741,0.002746384,0.000937662
