timestamp,attack_trigger,attack_frequency,attack_amplitude,attack_offset,attack_timediff,attack_recovered,attack_gyro0,attack_gyro1,attack_gyro2,true_gyro0,true_gyro1,true_gyro2
89634759,1,44,2,-0.8580234,0.004101,0.027072951,0.002309638,0.018636763,0.008022537,0.030876754,-0.008621799,0.0029865971
89638673,1,44,2,1.1921966,0.003914,0.026734352,-0.0021645918,0.016826732,0.008207766,0.026654752,-0.010210745,0.0023142719
89642662,1,44,2,1.9707102,0.003989,0.026734352,0.016614994,-0.15444043,0.018049162,0.002714842,-0.005628794,0.0031796962
89646668,1,44,2,0.57577896,0.004006,0.026979595,0.016793048,-0.7854006,0.076651745,0.010394493,-0.0148874,0.004600225
89650667,1,44,2,-1.4533184,0.003999,0.027116999,-0.043250587,-0.5856339,0.07316559,0.03615583,-0.018815402,0.0052853553
89654735,1,44,2,-1.8677496,0.004068,0.026759297,-0.06745657,0.28820086,-0.0015077406,0.03553491,-0.019042658,0.003988213
89658661,1,44,2,-0.23776004,0.003926,0.026759297,-0.037306078,0.927674,-0.069573425,0.016257847,-0.014994114,0.0031823318
89662662,1,44,2,1.667988,0.004001,-0.14557296,0.029375492,0.7285942,-0.06722427,0.026332896,-0.015072317,0.0037967998
89666691,1,44,2,1.7248604,0.004029,-0.12515137,0.06976499,-0.14184773,0.0059805117,0.03990408,-0.018314451,0.0045450255
89670657,1,44,2,-0.1112461,0.003966,-0.12515137,0.045585502,-0.865628,0.08148047,0.02750423,-0.01692056,0.002996912
89674727,1,44,2,-1.8497082,0.00407,-0.07988432,-0.026421204,-0.7619505,0.087634414,0.015922232,-0.013939798,0.0015732886
89678676,1,44,2,-1.5275534,0.003949,-0.033656448,-0.07496412,0.0933364,0.017481372,0.032351356,-0.014803931,0.003670391
89682655,1,44,2,0.45686123,0.003979,-0.033656448,-0.05726537,0.8760965,-0.062681615,0.035454106,-0.015554248,0.0045118853
89686666,1,44,2,1.9468961,0.004011,-0.06559026,0.017750613,0.8307387,-0.07491985,0.019643448,-0.013516764,0.002857277
89690666,1,44,2,1.2827414,0.004,-0.035695255,0.075258434,0.015393301,-0.009730716,0.018701363,-0.0130281625,0.003034871
89694728,1,44,2,-0.8278532,0.004062,-0.035695255,0.060529195,-0.791053,0.07110117,0.037651476,-0.016712662,0.002557612
89698660,1,44,2,-1.9968488,0.003932,0.005862713,-0.015787115,-0.8419524,0.090903126,0.034460045,-0.015957287,0.0049060658
89702667,1,44,2,-0.99292153,0.004007,0.039912224,-0.075403936,-0.10618276,0.034350295,0.01912281,-0.012443431,0.0035851686
89706656,1,44,2,1.1027288,0.003989,0.039912224,-0.06379071,0.7482784,-0.048967414,0.024375122,-0.013081982,0.0029985101
89710654,1,44,2,1.9859337,0.003998,-0.050846756,0.0048999204,0.91771245,-0.07893413,0.024375122,-0.013081982,0.0029985101
89714750,1,44,2,0.63153553,0.004096,-0.05495158,0.06977944,0.22914183,-0.026897067,0.03166285,-0.015074268,0.003915429
89718672,1,44,2,-1.3846004,0.003922,-0.05495158,0.070032954,-0.6681642,0.056759577,0.017855084,-0.013165097,0.0046119355
89722655,1,44,2,-1.9144831,0.003983,-0.025488287,0.00076751824,-0.9062855,0.093373194,0.035018492,-0.016152337,0.0028987452
89726662,1,44,2,-0.33429646,0.004007,0.021781147,-0.06996535,-0.2762447,0.04819117,0.038227063,-0.016172528,0.0035310704
89730679,1,44,2,1.6168114,0.004017,-0.012777358,-0.071744405,0.6037163,-0.032049768,0.021163646,-0.011376868,0.0030044254
89734727,1,44,2,1.7648702,0.004048,-0.012777358,-0.0062842355,0.9153234,-0.07478446,0.020790815,-0.01329986,0.0024637654
89738659,1,44,2,-0.013754094,0.003932,-0.054218054,0.05955183,0.39487267,-0.040785905,0.037819058,-0.017335225,0.0050133676
89742658,1,44,2,-1.7934786,0.003999,-0.0019205511,0.06881188,-0.4659364,0.037401937,0.03300739,-0.015533929,0.003905169
89746664,1,44,2,-1.5934118,0.004006,-0.056713134,0.014396496,-0.8898979,0.089763716,0.0168454,-0.013476624,0.0028776175
89750673,1,44,2,0.36906654,0.004009,-0.056713134,-0.053351443,-0.48199365,0.06638863,0.02501003,-0.014682088,0.002592176
89754748,1,44,2,1.9336787,0.004075,-0.014087468,-0.07155266,0.38362506,-0.010264198,0.027752385,-0.015212167,0.005235323
89758659,1,44,2,1.3588979,0.003911,-0.020543128,-0.025844373,0.90655327,-0.07092557,0.027752385,-0.015212167,0.005235323
89762689,1,44,2,-0.71627057,0.00403,-0.03060767,0.045149148,0.5942737,-0.056899466,0.017189257,-0.012348202,0.004697893
89766664,1,44,2,-1.9890025,0.003975,-0.06587535,0.0738669,-0.2684276,0.018041473,0.031098817,-0.015018222,0.0027798973
89770657,1,44,2,-1.082962,0.003993,-0.06587535,0.029779673,-0.87189925,0.08389127,0.040521573,-0.016797245,0.0029661756
89774729,1,44,2,1.0501484,0.004072,-0.03637123,-0.044495348,-0.631039,0.07729238,0.0234334,-0.01296597,0.0045665684
89778661,1,44,2,1.9951165,0.003932,-0.00020867586,-0.073709615,0.22385088,0.004571784,0.018599331,-0.011812207,0.0040077087
89782678,1,44,2,0.76319647,0.004017,-0.00020867586,-0.03352831,0.8654231,-0.063179895,0.035702042,-0.013613767,0.0056855106
89786661,1,44,2,-1.3037248,0.003983,-0.024956942,0.036483347,0.6941652,-0.06328979,0.034826547,-0.014366377,0.0043816515
89790666,1,44,2,-1.939465,0.004005,-0.03942424,0.0717109,-0.13310316,0.0043400554,0.018247873,-0.011069073,0.0034491308
89794735,1,44,2,-0.39563915,0.004069,-0.06473404,0.036631986,-0.810321,0.074081674,0.02421608,-0.013733586,0.0043789903
89798658,1,44,2,1.5476416,0.003923,-0.06473404,-0.03487874,-0.67899626,0.077166654,0.038778562,-0.01681185,0.0028038453
89802660,1,44,2,1.8249714,0.004002,0.008691192,-0.071025334,0.09594496,0.014284813,0.028742783,-0.015222801,0.0026118422
89806661,1,44,2,0.087673284,0.004001,-0.009993553,-0.039746176,0.7610339,-0.051982775,0.017087093,-0.013100808,0.0028864087
89810657,1,44,2,-1.7462908,0.003996,-0.009993553,0.025509283,0.73017085,-0.06428333,0.029521426,-0.014676284,0.005394047
89814731,1,44,2,-1.632598,0.004074,-0.044591695,0.063478805,0.050683968,-0.012093132,0.039882414,-0.01552846,0.0044285255
89818672,1,44,2,0.26892132,0.003941,-0.044581026,0.043314345,-0.66632426,0.059591554,0.024105322,-0.013897982,0.004475108
89822661,1,44,2,1.8905163,0.003989,-0.044581026,-0.0133019425,-0.7713311,0.08413413,0.016637314,-0.014045322,0.0028718754
89826660,1,44,2,1.4315583,0.003999,-0.01617378,-0.06096234,-0.14146377,0.037157916,0.032811962,-0.016402911,0.0032601547
89830660,1,44,2,-0.6057914,0.004,-0.01617378,-0.057635367,0.6550595,-0.041356783,0.036260106,-0.015774485,0.0034733012
89834736,1,44,2,-1.9815017,0.004076,-0.005642295,0.0003204877,0.82817185,-0.07016578,0.01923912,-0.0146048665,0.0022037916
89838679,1,44,2,-1.1572897,0.003943,-0.039880335,0.06206399,0.23342904,-0.026916003,0.02074539,-0.015425743,0.0042785164
89842654,1,44,2,0.928067,0.003975,-0.039880335,0.06454813,-0.5409875,0.047197558,0.03787074,-0.016807918,0.004585924
89846689,1,44,2,1.9992721,0.004035,0.016985878,0.0045264307,-0.81356,0.085059635,0.033166505,-0.014793649,0.0023095738
89850690,1,44,2,0.8488854,0.004001,0.016924322,-0.061887793,-0.33036548,0.05342607,0.018727124,-0.013292255,0.0019747545
89854739,1,44,2,-1.2618539,0.004049,0.016924322,-0.0705748,0.47537538,-0.021436315,0.026730437,-0.015211999,0.002757305
89858658,1,44,2,-1.9624887,0.003919,-0.00067824125,-0.01598246,0.871879,-0.07042224,0.03957054,-0.016651236,0.0045391154
89862665,1,44,2,-0.532291,0.004007,-0.04894656,0.052347828,0.47119695,-0.046271745,0.018793909,-0.012943089,0.004314099
89866661,1,44,2,1.4840374,0.003996,-0.05038625,0.07187954,-0.39805582,0.031800937,0.03470789,-0.01659797,0.0036379886
89870661,1,44,2,1.8641125,0.004,-0.05038625,0.02420714,-0.9029228,0.08939492,0.036533367,-0.016483579,0.0060364124
